Designator,Mid X,Mid Y,Rotation,Layer
C1,99.5,-57,270,top
C10,123.6375,-71.775,180,bottom
C11,94.5,-72.3625,90,top
C2,94.5,-56.5,90,top
C3,98.5,-51,0,top
C4,89,-64,270,bottom
C5,113,-74.1375,270,top
C6,109.1375,-77,0,top
C7,106.5,-72.8625,90,top
C8,127,-74.775,270,top
C9,126.5,-71.275,270,top
CR1,100,-72,0,bottom
D1,130.5625,-70.725,0,top
D2,99,-66,270,bottom
D3,89,-68.65,90,top
D4,89,-59.65,270,top
J1,110.55,-70.0,0,bottom
J10,100.40325,-75.5,0,top
J2,92,-55,90,top
J3,92,-64.5,90,top
J4,131,-54.54,90,top
J5,131,-63.54,90,top
J6,125.69,-78.5,180,top
J7,92,-74.46,90,top
J8,123,-63.46,270,top
J9,127,-62.19,90,top
L1,97,-54,90,top
R1,99.5,-53.5,270,top
R2,97.5,-62.5,180,top
R3,103.5,-71,180,top
R4,97,-70,270,top
R5,130.4925,-73.5,0,top
R6,119.9125,-75.775,0,top
R7,119.9125,-73.775,0,top
U1,110,-59.91,0,top
U2,97.25,-58.735,180,top
U3,124,-74.775,270,top
U4,110,-74.5,180,top
U5,123.5,-70,0,top
